BASIN,2022-10_ALLOCATIONS,2022-10_DEMAND,2022-10_FLOW,2022-10_PROPORTIONS
R_14,0.0002082,0.0002082,5.395038400000001,1
R_14_M,0.0,0.0,0.0,1
R_15,0.00020219999999999998,0.00020219999999999998,1.5669413,1
R_15_M,0.0,0.0,0.0,1
R_16,4.451857983,4.451857983,7.9735494000000005,1
R_16_M,0.0,0.0,0.0,1
R_17,0.06923822,0.06923822,3.6099154,1
R_17_M,0.0,0.0,0.0,1
R_18,1.3038485649,1.3038485649,8.9454497,1
R_18_M,0.0,0.0,0.0,1
R_19,0.00020219999999999998,0.00020219999999999998,3.2727255,1
R_19_M,0.0,0.0,0.0,1
R_20,0.49128950499999996,0.49128950499999996,18.426436300000002,1
R_21,1.0855861,1.0855861,13.0313979,1
R_21_M,0.0,0.0,0.0,1
R_22,0.016468,0.016468,107.4247352,1
R_23,1.0008088,1.0008088,48.1586516,1
R_24,1.282682731,1.282682731,155.38503980000002,1
R_24_M,0.0,0.0,0.0,1
R_25,0.667273267,0.667273267,0.0,1
R_26,0.00042461999999999996,0.00042461999999999996,0.0,1
R_27,0.0014356199999999999,0.0014356199999999999,465.18321910000003,1
R_28,0.015539733,0.015539733,103.3586217,1
