BASIN,2022-08_ALLOCATIONS,2022-08_AVAILABLE_FLOW,2022-08_DEMAND
R_01,15.432032450000014,35.462874734,15.432029657000014
R_02,8.718167059999999,24.278023484,8.718163726999999
R_02_M,191.03680480000003,4251.255454122341,191.03683146400004
R_03,2.022e-05,4.68096898,2.022e-05
R_03_M,1228.9208088000003,4251.255454122341,1228.9174758000001
R_04,0.07404153,18.907310397,0.074041527
R_04_M,515.6616628799999,4251.255454122341,515.6612899169999
R_05,7.92986064,7.929861331999998,12.00940126
R_05_M,231.528614,4251.255454122341,231.528710657
R_06,0.7552517200000002,43.705474579000004,0.755252386
R_06_M,216.92878577,4251.255454122341,216.92875140299998
R_07,0.0762487,4.3425861,0.076248733
R_08,4.061721167000001,11.839593979,4.0617248
R_09,0.38017278,12.686307006999998,0.380173146
R_09_M,303.82542601999995,4251.255454122341,303.825498377
R_10,0.0,0.0,3.8028307999999997
R_10_M,126.8124716,4251.255454122341,126.812407273
R_11,10.3508,10.350794332,42.942647104
R_12,9.059403699999999,9.059402160000001,24.66283594100001
R_12_M,333.01532319999995,4251.255454122341,333.015624379
R_13,0.0,0.8925615,0.0
R_13_M,8.070554320000003,4251.255454122341,8.070557653000002
