BASIN,2022-07_ALLOCATIONS,2022-07_AVAILABLE_FLOW,2022-07_DEMAND
R_01,19.534446920000022,71.24898533300001,19.534446926000022
R_02,9.034306860000001,44.07643727999999,9.034306860000001
R_02_M,0.0,44.07643727999999,0.0
R_03,2.022e-05,8.11237208,2.022e-05
R_03_M,0.0,52.18880935999999,0.0
R_04,0.06940399,38.913214081,0.069403993
R_04_M,0.0,162.35100877399998,0.0
R_05,12.995248259999999,29.329494132999997,12.995248259999999
R_05_M,0.0,191.68050290699998,0.0
R_06,0.7261633900000001,75.863095711,0.726163387
R_06_M,0.0,267.5435986179999,0.0
R_07,0.031415399999999996,8.091344399999999,0.031415399999999996
R_08,2.3824338,32.25113608,2.3824338
R_09,1.0357192800000004,26.69873514,1.0357192800000004
R_09_M,0.0,326.49346983799995,0.0
R_10,0.0,0.0,3.0826286
R_10_M,0.0,326.49346983799995,0.0
R_11,20.2883,20.2882874,39.29735632
R_12,15.914892600000002,15.914892859999998,27.32298124000001
R_12_M,0.0,362.69665009799996,0.0
R_13,0.0,1.4876025,0.0
R_13_M,0.0,364.1842525979999,0.0
